Sexo,Edad,Estudios,Comunidad,Aportan_vs_Reciben,Quitan_Trabajo,Matrimonio_Hijo,Valoracion_General,Tramo_edad
Mujer,52.0,Educación secundaria,Andalucía,Más de lo que aportan,Muy de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,23.0,Bachillerato,Andalucía,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,75.0,Educación secundaria,Andalucía,Tanto como aportan,Más bien de acuerdo,Acepta/ría,Positiva,Jubilados
Mujer,33.0,Bachillerato,Andalucía,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Mujer,55.0,Educación secundaria,Andalucía,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Muy negativa,Adultos Mayores
Mujer,24.0,Educación secundaria,Andalucía,Más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Jóvenes
Mujer,66.0,Educación secundaria,Madrid (Comunidad de),Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jubilados
Mujer,21.0,Estudios de grado,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Muy positiva,Jóvenes
Hombre,65.0,Bachillerato,Madrid (Comunidad de),Más de lo que aportan,Más bien en desacuerdo,N.S.,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,59.0,Educación secundaria,Madrid (Comunidad de),N.S.,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,52.0,Educación secundaria,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos Mayores
Hombre,19.0,Bachillerato,Madrid (Comunidad de),Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jóvenes
Mujer,35.0,Bachillerato,Madrid (Comunidad de),N.S.,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,43.0,Estudios de licenciatura,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,68.0,FP de grado superior,Madrid (Comunidad de),Tanto como aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,73.0,Educación primaria,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Jubilados
Hombre,64.0,Educación secundaria,Madrid (Comunidad de),Tanto como aportan,Muy en desacuerdo,Acepta/ría,Muy positiva,Adultos Mayores
Mujer,30.0,FP de grado superior,Madrid (Comunidad de),N.S.,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Mujer,82.0,Educación primaria,Madrid (Comunidad de),Tanto como aportan,Muy de acuerdo,(NO LEER) Depende,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,44.0,FP de grado superior,Madrid (Comunidad de),Tanto como aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,68.0,Bachillerato,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,56.0,Educación secundaria,Madrid (Comunidad de),Más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,39.0,Estudios de licenciatura,Madrid (Comunidad de),Tanto como aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,28.0,Bachillerato,Madrid (Comunidad de),Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Muy positiva,Jóvenes
Hombre,36.0,Educación secundaria,Andalucía,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Adultos
Hombre,52.0,Estudios de grado,Andalucía,Mucho más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,Positiva,Adultos Mayores
Mujer,46.0,Bachillerato,Andalucía,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Mujer,83.0,,Andalucía,Más de lo que aportan,Más bien de acuerdo,Rechazaría,(NO LEER) Ni positiva ni negativa,Jubilados
Mujer,63.0,Educación secundaria,Andalucía,Más de lo que aportan,Muy en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,24.0,Estudios de grado,Andalucía,Más de lo que aportan,Muy de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
Mujer,49.0,Educación secundaria,Andalucía,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Adultos
Mujer,24.0,FP de grado medio,Andalucía,Más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Negativa,Jóvenes
Hombre,45.0,,Andalucía,Tanto como aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,43.0,Educación secundaria,Andalucía,Más de lo que aportan,Más bien de acuerdo,(NO LEER) Depende,Positiva,Adultos
Hombre,26.0,Educación secundaria,Andalucía,Tanto como aportan,Muy de acuerdo,Trataría de evitarla,Muy negativa,Jóvenes
Mujer,36.0,FP de grado superior,Andalucía,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos
Hombre,74.0,Educación primaria,Andalucía,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Jubilados
Mujer,72.0,,Andalucía,Tanto como aportan,Más bien de acuerdo,Acepta/ría,N.S.,Jubilados
Hombre,59.0,Educación primaria,Andalucía,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,Positiva,Adultos Mayores
Mujer,53.0,Educación secundaria,Andalucía,Tanto como aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,61.0,Educación secundaria,Andalucía,Tanto como aportan,Más bien de acuerdo,Acepta/ría,Positiva,Adultos Mayores
Hombre,70.0,,Andalucía,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,52.0,Educación secundaria,Andalucía,Mucho más de lo que aportan,Muy de acuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Adultos Mayores
Mujer,35.0,Educación secundaria,Andalucía,N.S.,Más bien de acuerdo,Acepta/ría,Positiva,Adultos
Hombre,18.0,FP de grado medio,Andalucía,Más de lo que aportan,Más bien de acuerdo,Acepta/ría,Positiva,
Hombre,45.0,Diplomatura,Andalucía,Menos de lo que aportan,Más bien de acuerdo,Acepta/ría,Negativa,Adultos
Hombre,59.0,Bachillerato,Castilla y León,Más de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,Adultos Mayores
Mujer,77.0,Educación primaria,Castilla y León,Menos de lo que aportan,Más bien de acuerdo,Trataría de evitarla,(NO LEER) Ni positiva ni negativa,Jubilados
Hombre,52.0,Educación secundaria,Castilla y León,N.S.,Más bien en desacuerdo,(NO LEER) Depende,Positiva,Adultos Mayores
Hombre,80.0,Educación primaria,Castilla y León,Tanto como aportan,Más bien de acuerdo,Rechazaría,Negativa,Jubilados
Mujer,57.0,Educación secundaria,Castilla y León,Más de lo que aportan,Más bien de acuerdo,Trataría de evitarla,Negativa,Adultos Mayores
Hombre,41.0,Educación secundaria,Castilla y León,Mucho más de lo que aportan,Más bien de acuerdo,Rechazaría,Muy negativa,Adultos
Hombre,18.0,Bachillerato,Castilla y León,Menos de lo que aportan,Más bien en desacuerdo,Acepta/ría,Positiva,
Hombre,24.0,Estudios de grado,Galicia,Más de lo que aportan,Muy de acuerdo,Acepta/ría,(NO LEER) Ni positiva ni negativa,Jóvenes
